transaction_id,customer_id,transaction_amount,previous_balance,transaction_time,customer_age,employment_status,transaction_type,device_os,credit_score,number_of_accounts,IP_country,previous_fraudulent_transactions,failed_login_attempts,fraud_risk_score,transaction_velocity_6h,distance_from_last_transaction,account_balance_after_transaction,transaction_deviation,transaction_z_score,fraud_Cases
14e3df5c-c1a0-4330-a0d3-e78efc869308,4a1d06fb-3c42-4a9e-af5b-0623a18ae4e0,780.887194118589,11549.35240096004,2024-05-06 11:59:27,32,Retired,ATM Withdrawal,Linux,340,3,USA,3,1,0.3844706148046742,9,1646.248090305978,10768.46520684145,0.0,-1.2047167141097244,1
93861cea-779a-4ae5-89d5-4933abc1a8df,ba7620d9-32c2-44ad-90ca-6851f8b617e0,263.83385549438515,8579.475601962122,2025-01-31 05:09:22,31,Unemployed,Online Purchase,macOS,704,3,India,3,2,0.3969344143401287,26,1102.9046156291568,8315.641746467736,0.0,-1.5655897629112052,1
cd237eae-bfff-4ede-8c0e-0881a67af95f,3e3e6ce4-d42c-45c4-ae2f-0e6edb3090ce,1003.5530407653666,7525.973945659638,2025-03-05 13:07:24,51,Unemployed,Wire Transfer,macOS,732,3,Germany,2,2,0.5984569635736323,24,1911.6425815768,6522.420904894271,0.0,-1.049308950653066,1
648d8d61-06fa-43bb-89be-128bc38d9cd5,152b4d11-e9ca-4ee4-a981-5df363e0ffa3,3564.8186859221105,14709.981910686043,2024-08-29 15:46:09,66,Unemployed,ATM Withdrawal,Linux,558,2,Germany,4,0,0.8957847535985136,17,1384.3652659492045,11145.163224763932,0.0,0.738304962870051,1
83216f5b-f451-4d8d-a6ba-40911ed6de5b,fe3d008c-9429-4071-ac37-6842c0c4f41f,2186.5627782015767,18013.863705301348,2024-11-13 03:54:30,23,Unemployed,Online Purchase,Android,816,1,USA,4,2,0.5883883646616384,2,1770.2570946063224,15827.300927099772,0.0,-0.2236372088432157,1
c9606c95-64a6-4f9b-8e37-4e636d05317d,2e704420-1e9d-446c-8b07-c118fd9e16fb,3851.451212045341,13545.728611282517,2024-08-20 17:24:25,71,Retired,Online Purchase,iOS,812,1,UK,0,3,0.2129735024937588,29,941.4250769096564,9694.277399237177,0.0,0.9383577347233224,1
a375fd55-a208-480b-a3be-e4077497ce55,6ea8f026-a19d-4d92-a526-706999f85ee9,2132.7730200362057,3561.117779749449,2024-11-02 08:54:39,52,Unemployed,Wire Transfer,Linux,320,3,USA,0,0,0.0109648122811831,22,1243.7802128922042,1428.344759713243,0.0,-0.2611793202143213,1
7438897f-1ad6-4482-927f-de306d29ea7c,446b7d62-f11c-4f72-a682-943513cac8db,2266.695055541931,393.6019762101868,2024-06-21 03:55:03,23,Retired,Wire Transfer,Linux,556,2,USA,2,4,0.6147869134973367,16,1672.2206678432303,-1873.0930793317443,0.0,-0.167709556759652,1
a7256c51-8243-4ce9-9bb4-08e34c6b027d,e99b7bec-6181-4459-ae56-5506239bd605,3496.4689723463057,11014.6737618652,2024-08-21 11:59:22,40,Student,Online Purchase,macOS,776,3,UK,0,0,0.680721628333486,2,1521.2820500029272,7518.204789518895,0.0,0.6906008525195796,1
961afe8c-6e8c-4480-bf79-823316ac94fb,12b3d9bc-65f9-437b-b9ba-6ae37a084cd0,2412.689023996813,16719.043634710437,2024-12-20 15:25:19,52,Student,ATM Withdrawal,Windows,705,3,Germany,3,1,0.4655527548441717,1,173.70599623042793,14306.354610713624,0.0,-0.0658142887721605,1
1f3882b4-9ff9-48d6-8889-dfa50ebff5a0,b589f0ab-d3d8-419c-ab03-86ab84648040,3571.82838327876,5434.144561246337,2025-01-03 20:33:36,44,Employed,ATM Withdrawal,Android,693,3,China,0,1,0.7801703375168925,16,1938.837242560126,1862.3161779675768,0.0,0.7431973224533015,1
199453df-d752-4566-a7e4-6c0f47a87fe5,1a5b2653-64de-42c1-9979-c50a57f1a533,4739.045476852917,19767.10273926274,2025-01-30 08:01:11,78,Employed,ATM Withdrawal,macOS,843,1,UK,2,0,0.9453465378108974,5,1100.8334606800815,15028.057262409824,0.0,1.5578467206993338,1
a4ef5876-3560-4aaf-a0c1-15ba50b2baeb,6dc86ae4-0242-4123-8693-ea3cae175a80,1270.0834334698077,15877.249139206937,2025-02-11 05:46:56,18,Employed,Wire Transfer,Linux,453,3,UK,4,2,0.3320271077441113,0,500.5432810904524,14607.16570573713,0.0,-0.8632862945196836,1
897a434d-da49-4ea1-bbaf-5a1da6bf1def,369f1956-325a-4667-8672-ac0bcd2d32a5,325.1222811085417,14067.279638146372,2024-04-28 18:54:32,74,Retired,Online Purchase,iOS,531,1,China,3,0,0.3944800446602791,22,1928.2005175912689,13742.157357037831,0.0,-1.5228140193748143,1
bc5f25f5-3b38-44b4-973f-0a3ad3f2d2c8,303a0f34-05d4-4a8f-9994-c0396f6b55d4,2050.141302735259,16954.175558492876,2024-09-03 12:19:19,44,Retired,Wire Transfer,Windows,849,3,India,1,1,0.533753497641906,0,1668.270328274414,14904.034255757617,0.0,-0.3188514354924853,1
18a8bdd3-48c2-4459-9b1e-9b1d66bcb7d9,ff586816-d969-4eb5-93ea-9f175c7ddaa7,4959.375930305146,8436.779061468902,2025-02-12 20:27:00,23,Employed,Wire Transfer,Linux,385,2,China,0,2,0.5509224653534635,28,1855.2558344852405,3477.4031311637564,0.0,1.7116245160283137,1
fbb0c38f-fb7a-400f-9d37-766ef3358c64,60ea995d-7a7c-43a4-b2d9-a71ea0163c32,3831.8103524310654,16292.219795188535,2024-09-05 02:17:34,39,Employed,Online Purchase,Windows,803,3,UK,0,1,0.3352230254106618,14,1343.8350452132406,12460.409442757473,0.0,0.924649561193402,1
3da3277c-5a38-4b43-9e2c-c253fa5fb199,e3f83cb1-0041-42fb-baf7-4a87ee7454a9,2373.947392004047,2775.3614507393354,2024-09-07 16:08:50,74,Unemployed,Wire Transfer,Linux,389,1,Germany,1,4,0.1704088957038393,16,1112.359232722892,401.41405873528856,0.0,-0.0928536864675224,1
8fbc44ff-5ef5-42db-827b-3a9414186b6d,383cf759-acf3-4839-b1f3-6a814f8af138,3544.167768600457,14467.68253415314,2024-10-05 07:00:02,73,Unemployed,ATM Withdrawal,iOS,838,3,Germany,3,0,0.8840143931126282,9,15.950162948270783,10923.514765552683,0.0,0.7238918280197045,1
26e876ec-9b5e-484f-b194-970021bea032,be86457d-adca-43ed-8c8f-0693232926a6,389.9351096438904,4395.209966808372,2025-02-26 15:01:24,20,Employed,Wire Transfer,Windows,350,3,Nigeria,3,4,0.2828897044148779,2,394.95443225069306,4005.2748571644815,0.0,-1.4775784483267025,1
7616bdaa-a160-4bc2-b37b-1eef760d60a8,e6c0f1be-f7f5-47bf-807c-a56f0bdb8041,3435.977090647491,15843.212306072028,2025-03-24 13:40:27,57,Student,Wire Transfer,macOS,681,2,Germany,4,3,0.6088207944430334,9,266.9140716958736,12407.235215424536,0.0,0.6483810501400502,1
d0f7ae92-01ec-4637-ab9a-cdcccb7be98a,60fa33bc-3c99-4fb3-81d4-134e48757097,4527.809511574759,2938.482016429831,2024-11-23 13:34:39,63,Student,ATM Withdrawal,macOS,726,2,China,4,0,0.952352441615196,29,923.7432996381548,-1589.327495144928,0.0,1.410416347250268,1
f7ab80f2-1c46-495d-97b4-4c86a62cb47e,fe1f8286-f4b0-4f9d-bb68-0997115556ea,3358.3796995793577,3630.326140883823,2025-03-07 02:17:10,64,Student,Online Purchase,macOS,427,2,Nigeria,2,0,0.7294051959727256,24,925.743878571075,271.9464413044652,0.0,0.5942226007075235,1
d3e9ccde-8090-4893-abd3-fff3955b4d17,536c6760-41b0-404f-8f02-440e46ad6c97,1838.881914196056,15635.112270607411,2024-12-09 20:53:04,24,Retired,Online Purchase,macOS,560,2,India,0,1,0.0731327701354874,11,1686.0740005763605,13796.230356411355,0.0,-0.4662981570104924,1
235b2e12-3bdf-4cbe-899a-2f5d66a03ae0,02cc2934-c536-4e70-b27b-60ab06c4ec86,2843.831390651608,7557.10579132066,2024-06-07 06:54:07,59,Employed,ATM Withdrawal,Linux,767,2,USA,0,3,0.1680730768035886,29,705.171977770475,4713.274400669052,0.0,0.2350979164099888,1
a97d817f-885f-4ed8-8fb4-73edb8cd88e8,db6bb7b2-7ae0-4ee7-874d-213bca78917c,1738.591670440326,17059.45816770078,2025-02-06 23:33:57,22,Student,Online Purchase,Android,836,2,UK,0,1,0.6653370249130114,11,1121.9081517777204,15320.866497260457,0.0,-0.536294892986466,1
f6a2f3bc-776b-47d0-9db8-96b87b2e378d,b62b3223-c6f4-41d3-906b-e6bb6539a6af,1482.0978236863616,4466.675292636307,2024-09-26 18:42:01,58,Unemployed,ATM Withdrawal,macOS,309,3,UK,4,4,0.3061630501470909,22,983.7622061915444,2984.5774689499453,0.0,-0.7153126259020196,1
